CPS,Time,Mode
0.8,5,Clicker
0.2,5,Manual
0.2,5,Buy-Out[0.625]
0.4,5,Full-Auto[0.625]
0.8,15,Full-Auto[0.625]
1.8,60,Full-Auto[0.625]
0.4,5,Full-Auto[0.0]
0.2,5,Full-Auto[0.625]
0.4,11,Full-Auto[0.625]
0.2,5,Manual
0.8,11,Full-Auto[0.625]
0.2,5,Full-Auto[0.625]
0.2,5,Full-Auto[0.625]
0.2,5,Full-Auto[0.625]
0.2,5,Full-Auto[0.625]
0.2,5,Full-Auto[0.625]
0.2,5,Full-Auto[0.625]
0.2,5,Full-Auto[0.625]
0.2,5,Full-Auto[0.625]
0.2,5,Full-Auto[0.625]
0.2,5,Full-Auto[0.625]
0.0,5,Full-Auto[0.625]
0.4,10,Full-Auto[0.625]
0.0,5,Full-Auto[0.625]
0.0,5,Full-Auto[0.625]
